id_serie,titre_serie,numero_saison,partie_saison,nombre_episode_saison,date_sortie_saison,plateforme_saison,licence_serie,genre_serie
1,Black mirror,1,,3,2011,Netflix,Black mirror,Anticipation
2,Black mirror,2,,4,2013,Netflix,Black mirror,Anticipation
3,Black mirror,3,,6,2016,Netflix,Black mirror,Anticipation
4,Black mirror,4,,6,2017,Netflix,Black mirror,Anticipation
5,Black mirror,5,,3,2019,Netflix,Black mirror,Anticipation
6,Game of Thrones,1,,10,2011,OCS,Game of Thrones,Heroic Fantaisy
7,Game of Thrones,2,,10,2012,OCS,Game of Thrones,Heroic Fantaisy
8,Game of Thrones,3,,10,2013,OCS,Game of Thrones,Heroic Fantaisy
9,Game of Thrones,4,,10,2014,OCS,Game of Thrones,Heroic Fantaisy
10,Game of Thrones,5,,10,2015,OCS,Game of Thrones,Heroic Fantaisy
11,Game of Thrones,6,,10,2016,OCS,Game of Thrones,Heroic Fantaisy
12,Game of Thrones,7,,7,2017,OCS,Game of Thrones,Heroic Fantaisy
13,Game of Thrones,8,,6,2019,OCS,Game of Thrones,Heroic Fantaisy
14,La Casa de papel,1,1,9,2017,Anthena 3,La Casa de papel,Policier
15,La Casa de papel,1,2,6,2017,Anthena 3,La Casa de papel,Policier
16,La Casa de papel,2,3,8,2019,Netflix,La Casa de papel,Policier
17,La Casa de papel,2,4,8,2019,Netflix,La Casa de papel,Policier
18,The witcher,1,,8,2019,Netflix,The witcher,Heroic Fantaisy
19,Into the Dark,1,,12,2018,Amazon Prime,Into the Dark,Fantastique
20,Into the Dark,2,,5,2019,Amazon Prime,Into the Dark,Fantastique
